GAME_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,STL,BLK,TOV,PF
0022300063,CHA,1631109,Mark Williams,29.916666666666668,13,5,6,0,0,3,3,15,1,3,1,2,2
0022300063,CHA,1626179,Terry Rozier,34.35,24,7,16,2,7,8,12,5,6,0,0,3,2
0022300063,CHA,1630163,LaMelo Ball,30.78333333333333,15,4,15,4,11,3,4,6,10,1,0,3,3
0022300063,CHA,1641706,Brandon Miller,24.616666666666667,13,5,9,3,7,0,0,3,2,0,0,1,3
0022300063,CHA,1630550,JT Thor,20.116666666666667,5,2,7,1,3,0,0,2,1,0,0,0,0
0022300063,CHA,1630208,Nick Richards,18.05,7,2,2,0,0,3,4,4,1,0,1,2,3
0022300063,CHA,1630177,Theo Maledon,16.316666666666666,4,2,5,0,2,0,0,3,4,0,0,1,3
0022300063,CHA,1641733,Nick Smith Jr.,0.7166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300064,WAS,1628398,Kyle Kuzma,24.866666666666667,25,9,18,1,4,6,6,2,0,0,2,0,0
0022300064,WAS,1630166,Deni Avdija,20.666666666666668,9,4,8,0,0,1,2,7,5,1,0,2,0
0022300064,WAS,1629655,Daniel Gafford,21.05,6,2,2,0,0,2,4,5,0,0,2,0,5
0022300064,WAS,1629673,Jordan Poole,26.316666666666663,18,7,18,0,6,4,5,2,5,1,1,4,1
0022300064,WAS,1626145,Tyus Jones,28.33333333333333,16,7,12,2,4,0,1,3,6,1,1,2,1
0022300064,WAS,1626153,Delon Wright,25.316666666666663,8,3,8,1,1,1,1,6,6,3,0,0,1
0022300064,WAS,1630557,Corey Kispert,24.45,11,4,11,1,5,2,2,5,1,0,0,1,1
0022300064,WAS,201568,Danilo Gallinari,17.166666666666668,16,4,7,2,2,6,6,3,0,0,0,0,1
0022300064,WAS,1641731,Bilal Coulibaly,23.133333333333333,3,1,3,1,1,0,0,4,3,0,3,3,1
0022300064,WAS,203488,Mike Muscala,8.166666666666666,0,0,0,0,0,0,0,3,0,0,0,0,0
0022300064,WAS,1630647,Eugene Omoruyi,7.766666666666667,4,2,3,0,0,0,0,2,1,0,0,1,0
0022300064,WAS,1631157,Ryan Rollins,6.0,1,0,3,0,0,1,2,3,1,0,0,1,0
0022300064,WAS,1631116,Patrick Baldwin Jr.,3.3833333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0
0022300064,WAS,1630215,Jared Butler,3.3833333333333333,3,1,2,1,1,0,0,0,0,0,0,0,0
0022300064,IND,1631097,Bennedict Mathurin,25.83333333333333,18,6,15,2,6,4,4,4,5,2,0,2,1
0022300064,IND,1630167,Obi Toppin,19.23333333333333,11,4,9,2,5,1,1,4,1,1,0,0,0
0022300064,IND,1626167,Myles Turner,23.33333333333333,11,5,8,0,2,1,2,8,1,0,3,2,4
0022300064,IND,1628971,Bruce Brown,27.2,24,8,11,6,8,2,2,3,1,1,0,1,3
0022300064,IND,1630169,Tyrese Haliburton,26.9,20,9,16,2,6,0,0,3,11,1,2,3,1
0022300064,IND,1630188,Jalen Smith,13.416666666666666,13,5,6,2,2,1,1,8,0,1,0,0,4
0022300064,IND,1627741,Buddy Hield,25.1,14,5,9,4,7,0,0,2,5,1,1,1,0
0022300064,IND,1629614,Andrew Nembhard,21.6,12,6,9,0,1,0,0,4,10,0,0,2,4
0022300064,IND,1630174,Aaron Nesmith,23.08333333333333,7,2,5,1,3,2,2,5,1,0,1,1,3
0022300064,IND,1630543,Isaiah Jackson,11.25,4,2,4,0,0,0,0,4,0,0,0,0,2
0022300064,IND,204456,T.J. McConnell,6.0,4,2,2,0,0,0,0,1,2,2,0,0,0
0022300064,IND,1629670,Jordan Nwora,5.683333333333334,5,2,7,1,2,0,0,1,1,0,1,0,0
0022300064,IND,1641716,Jarace Walker,5.683333333333334,0,0,5,0,1,0,0,4,0,1,0,0,1
0022300064,IND,1641767,Ben Sheppard,5.683333333333334,0,0,1,0,0,0,0,0,0,0,0,0,0
0022300065,BOS,1627759,Jaylen Brown,38.13333333333333,11,4,11,0,4,3,4,6,5,1,0,2,5
0022300065,BOS,1628369,Jayson Tatum,38.66666666666666,34,13,22,3,8,5,6,11,4,2,1,4,3
0022300065,BOS,204001,Kristaps Porziņģis,37.9,30,8,15,5,9,9,10,8,0,0,4,1,4
0022300065,BOS,201950,Jrue Holiday,34.78333333333333,9,4,10,1,5,0,0,4,2,0,3,2,3
0022300065,BOS,1628401,Derrick White,31.933333333333334,12,4,6,1,3,3,4,6,2,2,1,1,3
0022300065,BOS,201143,Al Horford,25.8,8,3,4,2,3,0,0,7,2,0,0,3,2
0022300065,BOS,1630573,Sam Hauser,13.766666666666667,0,0,4,0,4,0,0,2,0,1,1,0,1
0022300065,BOS,1630202,Payton Pritchard,11.033333333333331,4,1,4,0,3,2,2,1,1,0,0,0,1
0022300065,BOS,1628436,Luke Kornet,7.983333333333333,0,0,1,0,0,0,0,1,2,0,1,0,0
0022300065,NYK,1629628,RJ Barrett,36.333333333333336,24,8,20,2,5,6,7,3,2,1,0,2,0
0022300065,NYK,203944,Julius Randle,34.016666666666666,14,5,22,3,8,1,5,11,7,2,0,0,3
0022300065,NYK,1629011,Mitchell Robinson,22.1,2,1,4,0,0,0,2,6,1,2,0,1,4
0022300065,NYK,1628973,Jalen Brunson,32.583333333333336,15,6,21,3,8,0,1,3,6,3,0,2,3
0022300065,NYK,1629656,Quentin Grimes,23.33333333333333,11,4,7,3,6,0,1,1,0,0,0,0,2
0022300065,NYK,1628404,Josh Hart,22.5,7,2,4,2,4,1,2,6,0,0,0,1,1
0022300065,NYK,1630193,Immanuel Quickley,28.0,24,7,11,5,7,5,6,6,4,1,0,2,3
0022300065,NYK,1628392,Isaiah Hartenstein,25.716666666666665,7,3,4,0,0,1,2,8,2,0,0,1,5
0022300065,NYK,1628978,Donte DiVincenzo,15.416666666666666,0,0,4,0,3,0,0,3,2,0,0,0,1
0022300066,HOU,1628415,Dillon Brooks,26.133333333333333,14,5,7,4,6,0,0,4,2,1,0,2,4
0022300066,HOU,1631095,Jabari Smith Jr.,26.166666666666668,7,3,9,0,4,1,2,5,1,1,0,1,6
0022300066,HOU,1630578,Alperen Sengun,28.466666666666665,14,6,11,0,1,2,4,8,6,0,0,1,4
0022300066,HOU,1630224,Jalen Green,29.816666666666663,10,2,10,0,1,6,7,1,0,1,1,4,2
0022300066,HOU,1627832,Fred VanVleet,33.53333333333333,14,5,13,4,6,0,0,1,5,1,0,3,0
0022300066,HOU,1641708,Amen Thompson,21.33333333333333,8,3,10,1,7,1,2,5,2,0,0,4,2
0022300066,HOU,1629111,Jock Landale,8.616666666666667,3,1,2,1,2,0,0,0,2,0,0,1,1
0022300066,HOU,1630256,Jae'Sean Tate,15.133333333333333,5,2,2,1,1,0,0,2,0,1,1,0,1
0022300066,HOU,201145,Jeff Green,13.866666666666667,4,2,4,0,1,0,1,3,1,0,0,1,2
0022300066,HOU,203493,Reggie Bullock Jr.,11.233333333333333,3,1,1,1,1,0,0,1,0,1,1,0,1
0022300066,HOU,1641715,Cam Whitmore,9.65,0,0,4,0,2,0,0,1,0,0,0,1,0
0022300066,HOU,1631257,Jermaine Samuels Jr.,6.45,0,0,0,0,0,0,0,0,0,0,0,0,1
0022300066,HOU,1631466,Nate Williams,4.8,4,2,3,0,1,0,0,0,0,0,0,0,0
0022300066,HOU,1628988,Aaron Holiday,4.8,0,0,3,0,1,0,0,0,0,0,0,0,0
0022300066,ORL,1630532,Franz Wagner,27.05,19,5,12,3,7,6,6,4,2,1,0,3,1
0022300066,ORL,1631094,Paolo Banchero,27.9,12,3,6,0,1,6,7,5,5,1,0,1,2
0022300066,ORL,1628976,Wendell Carter Jr.,26.916666666666668,8,4,10,0,2,0,0,8,1,2,0,2,3
0022300066,ORL,1630591,Jalen Suggs,20.85,8,3,12,2,7,0,0,4,0,0,0,0,2
0022300066,ORL,1628365,Markelle Fultz,24.516666666666666,10,5,9,0,0,0,0,4,2,3,0,1,0
0022300066,ORL,1630175,Cole Anthony,24.08333333333333,20,8,12,1,2,3,3,8,2,0,0,0,2
0022300066,ORL,1629021,Moritz Wagner,15.35,2,0,1,0,1,2,2,4,0,0,1,3,4
0022300066,ORL,203914,Gary Harris,16.95,11,5,8,1,4,0,0,5,0,0,1,0,0
0022300066,ORL,204060,Joe Ingles,18.23333333333333,0,0,3,0,3,0,0,4,5,0,0,1,3
0022300066,ORL,1628371,Jonathan Isaac,14.15,11,4,6,1,3,2,3,4,0,0,2,2,2
0022300066,ORL,1641710,Anthony Black,4.8,5,2,2,0,0,1,1,0,1,0,2,0,0
0022300066,ORL,1631216,Caleb Houstan,4.8,3,1,2,1,2,0,0,1,0,0,0,0,0
0022300066,ORL,1629048,Goga Bitadze,4.8,7,2,2,0,0,3,4,3,0,1,0,1,1
0022300066,ORL,1629643,Chuma Okeke,4.8,0,0,1,0,1,0,0,3,0,0,0,0,0
0022300066,ORL,1641724,Jett Howard,4.8,0,0,1,0,1,0,0,0,1,0,0,0,0
0022300067,CLE,1629622,Max Strus,38.96666666666667,27,9,17,7,13,2,2,12,2,1,1,0,4
0022300067,CLE,1630171,Isaac Okoro,31.65,18,6,10,2,4,4,5,6,4,2,1,2,5
0022300067,CLE,1630596,Evan Mobley,33.63333333333333,10,5,11,0,0,0,0,6,1,0,2,0,3
0022300067,CLE,1628378,Donovan Mitchell,35.733333333333334,27,11,21,4,10,1,1,5,6,4,1,0,1
0022300067,CLE,1629636,Darius Garland,32.333333333333336,15,6,12,1,5,2,2,2,5,2,0,6,2
0022300067,CLE,1627747,Caris LeVert,31.366666666666667,11,4,17,3,8,0,0,3,5,1,1,0,1
0022300067,CLE,1627777,Georges Niang,19.75,0,0,3,0,3,0,0,4,0,0,0,0,3
0022300067,CLE,1629660,Ty Jerome,5.5,2,1,1,0,0,0,0,0,0,0,0,0,1
0022300067,CLE,1627745,Damian Jones,11.066666666666666,4,2,2,0,0,0,0,0,2,0,0,2,3
0022300067,BKN,1628969,Mikal Bridges,35.18333333333333,20,6,12,0,2,8,9,6,4,3,0,3,4
0022300067,BKN,1629661,Cameron Johnson,26.133333333333333,12,5,10,1,4,1,2,5,3,2,0,2,1
0022300067,BKN,1629651,Nic Claxton,28.266666666666666,7,3,10,0,0,1,1,7,4,0,3,0,1
0022300067,BKN,203915,Spencer Dinwiddie,23.95,5,1,3,1,3,2,2,1,3,0,0,1,2
0022300067,BKN,1627732,Ben Simmons,22.98333333333333,4,2,6,0,0,0,0,10,9,0,1,2,2
0022300067,BKN,1630560,Cam Thomas,25.133333333333333,36,13,21,2,5,8,11,3,2,1,0,1,0
0022300067,BKN,1630549,Day'Ron Sharpe,11.9,4,2,3,0,0,0,0,2,0,0,2,3,2
0022300067,BKN,1627827,Dorian Finney-Smith,27.816666666666663,10,4,8,2,6,0,1,5,2,0,0,3,1
0022300067,BKN,1626220,Royce O'Neale,22.8,5,2,6,1,4,0,0,7,2,0,0,1,2
0022300067,BKN,1628372,Dennis Smith Jr.,15.833333333333334,10,4,5,2,3,0,0,4,1,0,0,1,1
0022300068,DET,1641709,Ausar Thompson,26.883333333333333,4,1,7,1,2,1,2,7,3,0,5,2,2
0022300068,DET,1630191,Isaiah Stewart,34.61666666666667,14,6,11,2,3,0,0,14,2,0,0,1,3
0022300068,DET,1631105,Jalen Duren,31.816666666666663,17,8,11,0,0,1,3,14,4,0,4,4,4
0022300068,DET,1630165,Killian Hayes,30.5,10,4,12,0,6,2,3,1,3,2,1,1,2
0022300068,DET,1630595,Cade Cunningham,35.766666666666666,30,13,27,4,9,0,0,3,9,1,1,3,5
0022300068,DET,1628963,Marvin Bagley III,16.183333333333334,8,3,3,0,0,2,2,8,3,0,1,1,1
0022300068,DET,1631093,Jaden Ivey,17.133333333333333,4,1,7,0,2,2,3,2,3,0,0,3,3
0022300068,DET,202692,Alec Burks,24.95,7,2,8,2,5,1,2,5,0,0,1,0,1
0022300068,DET,1631204,Marcus Sasser,10.383333333333333,8,3,4,2,3,0,0,2,1,0,0,1,0
0022300068,DET,203925,Joe Harris,11.783333333333331,0,0,2,0,2,0,0,0,0,0,0,0,2
0022300068,MIA,202710,Jimmy Butler III,34.46666666666667,19,6,18,0,0,7,9,13,4,2,0,0,0
0022300068,MIA,201567,Kevin Love,27.73333333333333,13,4,9,3,6,2,2,10,2,0,0,1,5
0022300068,MIA,1628389,Bam Adebayo,32.13333333333333,22,7,13,0,0,8,10,8,3,0,2,2,3
0022300068,MIA,1629639,Tyler Herro,34.5,16,7,24,2,7,0,0,2,3,3,0,2,1
0022300068,MIA,200768,Kyle Lowry,31.866666666666667,0,0,1,0,0,0,0,2,2,2,1,0,4
0022300068,MIA,1628997,Caleb Martin,19.516666666666666,2,1,7,0,3,0,0,3,1,1,0,0,1
0022300068,MIA,1631170,Jaime Jaquez Jr.,13.183333333333334,6,3,3,0,0,0,0,2,2,2,0,1,2
0022300068,MIA,1628418,Thomas Bryant,15.85,8,2,5,0,0,4,5,6,3,1,0,1,0
0022300068,MIA,1629130,Duncan Robinson,22.1,15,6,10,3,5,0,0,2,1,0,0,0,1
0022300068,MIA,1630696,Dru Smith,8.666666666666666,2,1,2,0,1,0,0,0,1,0,0,0,1
0022300070,OKC,1629652,Luguentz Dort,32.6,8,3,8,2,5,0,0,7,2,2,1,2,1
0022300070,OKC,1631114,Jalen Williams,31.8,16,5,11,2,6,4,4,3,5,1,0,2,3
0022300070,OKC,1631096,Chet Holmgren,25.116666666666667,11,4,7,2,3,1,3,4,3,1,0,1,3
0022300070,OKC,1630581,Josh Giddey,31.78333333333333,16,7,14,2,3,0,0,6,6,0,0,3,1
0022300070,OKC,1628983,Shai Gilgeous-Alexander,36.016666666666666,31,12,18,2,5,5,5,5,10,1,2,1,0
0022300070,OKC,1631172,Ousmane Dieng,14.25,9,3,5,3,5,0,0,2,0,0,0,1,1
0022300070,OKC,1630598,Aaron Wiggins,10.8,2,1,3,0,1,0,0,3,0,0,0,1,2
0022300070,OKC,1630198,Isaiah Joe,21.6,14,4,8,3,6,3,4,5,2,1,0,2,2
0022300070,OKC,1630846,Olivier Sarr,10.5,4,1,1,0,0,2,2,4,0,0,0,1,3
0022300070,OKC,1641717,Cason Wallace,19.03333333333333,13,5,5,3,3,0,0,2,1,0,1,1,3
0022300070,OKC,1630322,Lindy Waters III,2.716666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0
0022300070,OKC,1630197,Aleksej Pokusevski,1.9,0,0,1,0,1,0,0,2,0,0,0,0,0
0022300070,OKC,1630544,Tre Mann,1.9,0,0,0,0,0,0,0,0,1,0,0,0,0
0022300070,CHI,201942,DeMar DeRozan,32.88333333333333,20,9,20,1,3,1,3,5,2,1,1,0,1
0022300070,CHI,1630172,Patrick Williams,30.03333333333333,8,4,10,0,4,0,0,3,4,2,0,0,3
0022300070,CHI,202696,Nikola Vučević,31.95,11,5,8,0,2,1,1,9,4,3,2,4,2
0022300070,CHI,203897,Zach LaVine,24.716666666666665,16,4,16,2,9,6,6,4,3,0,0,4,3
0022300070,CHI,1629632,Coby White,30.58333333333333,15,4,14,2,7,5,6,4,4,0,0,0,3
0022300070,CHI,1628975,Jevon Carter,15.933333333333334,3,1,4,1,4,0,0,1,2,0,0,0,0
0022300070,CHI,1627936,Alex Caruso,19.616666666666667,6,2,5,1,4,1,2,2,3,2,0,1,1
0022300070,CHI,1628470,Torrey Craig,21.683333333333334,11,4,6,3,4,0,0,7,1,0,0,1,2
0022300070,CHI,203083,Andre Drummond,15.966666666666669,6,3,4,0,0,0,0,5,1,1,0,1,1
0022300070,CHI,1630245,Ayo Dosunmu,9.3,8,3,5,2,4,0,0,0,1,1,0,1,0
0022300070,CHI,1641763,Julian Phillips,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300070,CHI,1631207,Dalen Terry,3.6666666666666665,0,0,2,0,1,0,0,2,1,0,0,0,0
0022300071,NOP,1627742,Brandon Ingram,35.93333333333333,19,7,18,0,3,5,6,7,6,2,0,5,3
0022300071,NOP,1629627,Zion Williamson,31.716666666666665,23,9,17,0,0,5,7,7,3,0,0,3,1
0022300071,NOP,202685,Jonas Valančiūnas,29.2,12,4,7,2,4,2,2,12,1,0,1,3,1
0022300071,NOP,1630529,Herbert Jones,38.1,13,4,8,2,3,3,5,8,3,1,1,3,3
0022300071,NOP,203468,CJ McCollum,37.333333333333336,24,8,16,6,11,2,2,4,6,2,1,2,3
0022300071,NOP,1630700,Dyson Daniels,18.883333333333333,6,3,6,0,1,0,0,5,0,2,1,2,4
0022300071,NOP,1630184,Kira Lewis Jr.,10.816666666666666,0,0,3,0,2,0,0,0,0,0,1,1,1
0022300071,NOP,1626204,Larry Nance Jr.,14.933333333333334,2,1,2,0,0,0,0,8,0,1,0,2,1
0022300071,NOP,1641722,Jordan Hawkins,9.233333333333333,3,1,2,1,2,0,0,0,2,0,0,0,2
0022300071,NOP,1630346,Matt Ryan,13.866666666666667,9,3,6,3,6,0,0,1,1,0,0,0,2
0022300071,MEM,1630533,Ziaire Williams,29.266666666666666,9,4,7,1,3,0,0,4,0,0,0,1,2
0022300071,MEM,1628991,Jaren Jackson Jr.,35.71666666666667,8,2,9,0,5,4,4,5,3,0,5,3,5
0022300071,MEM,1630214,Xavier Tillman,33.7,17,7,16,1,5,2,2,12,4,3,1,0,2
0022300071,MEM,1630217,Desmond Bane,36.13333333333333,31,11,22,5,10,4,5,5,5,2,1,2,1
0022300071,MEM,203935,Marcus Smart,32.1,17,6,11,2,6,3,6,0,3,2,0,5,3
0022300071,MEM,1631223,David Roddy,27.883333333333333,9,4,7,1,3,0,0,5,2,0,0,1,2
0022300071,MEM,1628379,Luke Kennard,14.666666666666666,3,0,5,0,5,3,3,2,2,0,0,1,0
0022300071,MEM,1631222,Jake LaRavia,14.633333333333333,2,1,3,0,2,0,0,2,1,1,0,0,4
0022300071,MEM,201565,Derrick Rose,15.9,8,3,11,2,4,0,0,2,3,0,0,0,0
0022300072,SAC,203084,Harrison Barnes,33.45,33,11,16,5,7,6,6,4,2,1,0,1,2
0022300072,SAC,1631099,Keegan Murray,29.683333333333334,15,5,13,4,9,1,1,8,1,1,2,0,4
0022300072,SAC,1627734,Domantas Sabonis,32.13333333333333,22,8,14,1,2,5,7,12,5,1,2,3,3
0022300072,SAC,1628989,Kevin Huerter,23.566666666666663,7,3,9,1,5,0,0,5,2,0,0,1,3
0022300072,SAC,1628368,De'Aaron Fox,32.95,18,6,18,1,7,5,6,5,6,1,1,3,4
0022300072,SAC,1630558,Davion Mitchell,13.833333333333334,0,0,3,0,2,0,0,3,4,0,0,1,3
0022300072,SAC,1628426,Sasha Vezenkov,15.6,8,3,6,2,5,0,0,2,0,2,0,0,1
0022300072,SAC,1628370,Malik Monk,23.116666666666667,10,4,12,2,9,0,0,2,7,0,2,2,2
0022300072,SAC,201580,JaVale McGee,13.45,8,4,4,0,0,0,0,1,1,0,1,0,0
0022300072,SAC,1630537,Chris Duarte,14.733333333333333,9,3,5,3,4,0,0,2,1,0,0,0,3
0022300072,SAC,203458,Alex Len,2.4166666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0
0022300072,SAC,1630259,Jordan Ford,1.2666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,0
